Code,Latitude,Longitude
AFG,33,65
ALB,41,20
DZA,28,3
ASM,-14.3333,-170
AND,42.5,1.6
AGO,-12.5,18.5
AIA,18.25,-63.1667
ATA,-90,0
ATG,17.05,-61.8
ARG,-34,-64
ARM,40,45
ABW,12.5,-69.9667
AUS,-27,133
AUT,47.3333,13.3333
AZE,40.5,47.5
BHS,24.25,-76
BHR,26,50.55
BGD,24,90
BRB,13.1667,-59.5333
BLR,53,28
BEL,50.8333,4
BLZ,17.25,-88.75
BEN,9.5,2.25
BMU,32.3333,-64.75
BTN,27.5,90.5
BOL,-17,-65
BIH,44,18
BWA,-22,24
BVT,-54.4333,3.4
BRA,-10,-55
IOT,-6,71.5
BRN,4.5,114.6667
BGR,43,25
BFA,13,-2
BDI,-3.5,30
KHM,13,105
CMR,6,12
CAN,60,-95
CPV,16,-24
CYM,19.5,-80.5
CAF,7,21
TCD,15,19
CHL,-30,-71
CHN,35,105
CXR,-10.5,105.6667
CCK,-12.5,96.8333
COL,4,-72
COM,-12.1667,44.25
COG,-1,15
COD,0,25
COK,-21.2333,-159.7667
CRI,10,-84
CIV,8,-5
HRV,45.1667,15.5
CUB,21.5,-80
CYP,35,33
CZE,49.75,15.5
DNK,56,10
DJI,11.5,43
DMA,15.4167,-61.3333
DOM,19,-70.6667
ECU,-2,-77.5
EGY,27,30
SLV,13.8333,-88.9167
GNQ,2,10
ERI,15,39
EST,59,26
ETH,8,38
FLK,-51.75,-59
FRO,62,-7
FJI,-18,175
FIN,64,26
FRA,46,2
GUF,4,-53
PYF,-15,-140
ATF,-43,67
GAB,-1,11.75
GMB,13.4667,-16.5667
GEO,42,43.5
DEU,51,9
GHA,8,-2
GIB,36.1833,-5.3667
GRC,39,22
GRL,72,-40
GRD,12.1167,-61.6667
GLP,16.25,-61.5833
GUM,13.4667,144.7833
GTM,15.5,-90.25
GGY,49.5,-2.56
GIN,11,-10
GNB,12,-15
GUY,5,-59
HTI,19,-72.4167
HMD,-53.1,72.5167
VAT,41.9,12.45
HND,15,-86.5
HKG,22.25,114.1667
HUN,47,20
ISL,65,-18
IND,20,77
IDN,-5,120
IRN,32,53
IRQ,33,44
IRL,53,-8
IMN,54.23,-4.55
ISR,31.5,34.75
ITA,42.8333,12.8333
JAM,18.25,-77.5
JPN,36,138
JEY,49.21,-2.13
JOR,31,36
KAZ,48,68
KEN,1,38
KIR,1.4167,173
PRK,40,127
KOR,37,127.5
KWT,29.3375,47.6581
KGZ,41,75
LAO,18,105
LVA,57,25
LBN,33.8333,35.8333
LSO,-29.5,28.5
LBR,6.5,-9.5
LBY,25,17
LIE,47.1667,9.5333
LTU,56,24
LUX,49.75,6.1667
MAC,22.1667,113.55
MKD,41.8333,22
MDG,-20,47
MWI,-13.5,34
MYS,2.5,112.5
MDV,3.25,73
MLI,17,-4
MLT,35.8333,14.5833
MHL,9,168
MTQ,14.6667,-61
MRT,20,-12
MUS,-20.2833,57.55
MYT,-12.8333,45.1667
MEX,23,-102
FSM,6.9167,158.25
MDA,47,29
MCO,43.7333,7.4
MNG,46,105
MNE,42,19
MSR,16.75,-62.2
MAR,32,-5
MOZ,-18.25,35
MMR,22,98
NAM,-22,17
NRU,-0.5333,166.9167
NPL,28,84
NLD,52.5,5.75
ANT,12.25,-68.75
NCL,-21.5,165.5
NZL,-41,174
NIC,13,-85
NER,16,8
NGA,10,8
NIU,-19.0333,-169.8667
NFK,-29.0333,167.95
MNP,15.2,145.75
NOR,62,10
OMN,21,57
PAK,30,70
PLW,7.5,134.5
PSE,32,35.25
PAN,9,-80
PNG,-6,147
PRY,-23,-58
PER,-10,-76
PHL,13,122
PCN,-24.7,-127.4
POL,52,20
PRT,39.5,-8
PRI,18.25,-66.5
QAT,25.5,51.25
REU,-21.1,55.6
ROU,46,25
RUS,60,100
RWA,-2,30
SHN,-15.9333,-5.7
KNA,17.3333,-62.75
LCA,13.8833,-61.1333
SPM,46.8333,-56.3333
VCT,13.25,-61.2
WSM,-13.5833,-172.3333
SMR,43.7667,12.4167
STP,1,7
SAU,25,45
SEN,14,-14
SRB,44,21
SYC,-4.5833,55.6667
SLE,8.5,-11.5
SGP,1.3667,103.8
SVK,48.6667,19.5
SVN,46,15
SLB,-8,159
SOM,10,49
ZAF,-29,24
SGS,-54.5,-37
ESP,40,-4
LKA,7,81
SDN,15,30
SUR,4,-56
SJM,78,20
SWZ,-26.5,31.5
SWE,62,15
CHE,47,8
SYR,35,38
TWN,23.5,121
TJK,39,71
TZA,-6,35
THA,15,100
TLS,-8.55,125.5167
TGO,8,1.1667
TKL,-9,-172
TON,-20,-175
TTO,11,-61
TUN,34,9
TUR,39,35
TKM,40,60
TCA,21.75,-71.5833
TUV,-8,178
UGA,1,32
UKR,49,32
ARE,24,54
GBR,54,-2
USA,38,-97
UMI,19.2833,166.6
URY,-33,-56
UZB,41,64
VUT,-16,167
VEN,8,-66
VNM,16,106
VGB,18.5,-64.5
VIR,18.3333,-64.8333
WLF,-13.3,-176.2
ESH,24.5,-13
YEM,15,48
ZMB,-15,30
ZWE,-20,30
