"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Net migration","SM.POP.NETM","","","-4323","","","","","-4275","","","","","-3537","","","","","-5470","","","","","-1921","","","","","-5194","","","","","14218","","","","","6926","","","","","6263","","","","","-441","","","","","1253","","",
"Andorra","AND","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net migration","SM.POP.NETM","","","-20000","","","","","-20000","","","","","-20000","","","","","-1173331","","","","","-3504132","","","","","-1705201","","","","","3257250","","","","","-618616","","","","","137157","","","","","-739334","","","","","-399999","","",
"Angola","AGO","Net migration","SM.POP.NETM","","","-135000","","","","","-201155","","","","","-88455","","","","","13955","","","","","234149","","","","","-150232","","","","","142763","","","","","-126311","","","","","172194","","","","","82005","","","","","65543","","",
"Albania","ALB","Net migration","SM.POP.NETM","","","-4402","","","","","-4402","","","","","-4402","","","","","-4402","","","","","22403","","","","","25700","","","","","-390826","","","","","-303340","","","","","-289785","","","","","-150503","","","","","-50002","","",
"Arab World","ARB","Net migration","SM.POP.NETM","","","-540331","","","","","-795689","","","","","-1073042","","","","","1210788","","","","","-444568","","","","","-1589449","","","","","-873718","","","","","-3223509","","","","","1153756","","","","","4730460","","","","","354001","","",
"United Arab Emirates","ARE","Net migration","SM.POP.NETM","","","36923","","","","","54611","","","","","251678","","","","","387827","","","","","174444","","","","","259505","","","","","327575","","","","","464455","","","","","863784","","","","","3812193","","","","","514042","","",
"Argentina","ARG","Net migration","SM.POP.NETM","","","125000","","","","","125000","","","","","290000","","","","","-220000","","","","","80000","","","","","120000","","","","","0","","","","","-50000","","","","","-180000","","","","","-199997","","","","","-99998","","",
"Armenia","ARM","Net migration","SM.POP.NETM","","","70335","","","","","103399","","","","","86404","","","","","35724","","","","","-22331","","","","","-58313","","","","","-496288","","","","","-223873","","","","","-143966","","","","","-136009","","","","","-50001","","",
"American Samoa","ASM","Net migration","SM.POP.NETM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net migration","SM.POP.NETM","","","-1703","","","","","-1625","","","","","-2874","","","","","-3492","","","","","-8840","","","","","-7629","","","","","2617","","","","","4421","","","","","-282","","","","","-92","","","","","-56","","",
"Australia","AUS","Net migration","SM.POP.NETM","","","382989","","","","","852782","","","","","264129","","","","","235744","","","","","456227","","","","","666233","","","","","351078","","","","","522944","","","","","662716","","","","","1142686","","","","","749997","","",
"Austria","AUT","Net migration","SM.POP.NETM","","","20170","","","","","55742","","","","","100533","","","","","-27644","","","","","29783","","","","","92120","","","","","275335","","","","","23580","","","","","212687","","","","","159497","","","","","150001","","",
"Azerbaijan","AZE","Net migration","SM.POP.NETM","","","66429","","","","","50466","","","","","14620","","","","","-28122","","","","","-40822","","","","","-118757","","","","","-105573","","","","","-119785","","","","","10655","","","","","10655","","","","","0","","",
"Burundi","BDI","Net migration","SM.POP.NETM","","","-84989","","","","","-57900","","","","","-260594","","","","","-150288","","","","","-86002","","","","","-44320","","","","","-250000","","","","","-404999","","","","","112532","","","","","163733","","","","","-20001","","",
"Belgium","BEL","Net migration","SM.POP.NETM","","","71911","","","","","86168","","","","","39275","","","","","70243","","","","","13460","","","","","44794","","","","","115391","","","","","67177","","","","","196804","","","","","338542","","","","","150007","","",
"Benin","BEN","Net migration","SM.POP.NETM","","","-24295","","","","","-23742","","","","","-24845","","","","","-19393","","","","","-10848","","","","","-8723","","","","","105000","","","","","-29287","","","","","98831","","","","","50000","","","","","-10000","","",
"Burkina Faso","BFA","Net migration","SM.POP.NETM","","","-144723","","","","","-144723","","","","","-170263","","","","","-217400","","","","","-217400","","","","","-183699","","","","","-150001","","","","","-137499","","","","","-125000","","","","","-125000","","","","","-125000","","",
